Experimenter,Year,Distance,Lower Bound,Upper Bound  
Newcomb,1895,93.28,93.20,93.35
Hinks,1901,92.83,92.79,92.87
Noteboom,1921,92.91,92.90,92.92
Spencer Jones,1928,92.87,92.82,92.91
Spencer Jones,1931,93.00,92.99,93.01
Witt,1933,92.91,92.90,92.92
Adams,1941,92.84,92.77,92.92
Brouwer,1950,92.977,92.945,93.008
Rabe,1950,92.9148,92.9107,92.9190
Millstone Hill,1958,92.874,92.873,92.875
Jodrell Bank,1959,92.876,92.871,92.882
S.T.L.,1960,92.9251,92.9166,92.9335
Jodrell Bank,1959,92.960,92.958,92.962
Cal. Tech.,1961,92.956,92.955,92.957
Soviets,1961,92.813,92.810,92.816
