Sex,Diet,Bodyweight
F,hf,31.94
F,hf,32.48
F,hf,22.82
F,hf,19.92
F,hf,32.22
F,hf,27.5
F,hf,27.56
F,hf,36.44
F,hf,19.39
F,hf,23.16
F,hf,24.29
F,hf,18.78
F,hf,25.43
F,hf,24.3
F,hf,33.9
F,hf,31.47
F,hf,32.01
F,hf,18.52
F,hf,26.86
F,hf,25.41
F,hf,29.18
F,hf,25.3
F,hf,29.64
F,hf,20.73
F,hf,28.26
F,chow,27.03
F,chow,24.8
F,chow,27.02
F,chow,28.07
F,chow,23.55
F,chow,22.72
F,chow,24.82
F,chow,21.6
F,chow,23.98
F,chow,26.6
F,chow,19.24
F,chow,21.43
F,chow,22.73
F,chow,20.1
F,chow,20.6
F,chow,21.49
F,chow,24.73
F,chow,27.92
F,chow,27.51
F,chow,19.88
F,chow,20.72
F,chow,24
F,chow,25.08
F,chow,25.27
F,chow,22.08
F,chow,20.52
F,chow,23.39
F,chow,19.87
F,chow,17.95
F,chow,31.83
F,chow,21.71
F,chow,29.99
F,chow,20.89
F,chow,29.6
F,chow,22.77
F,chow,26.03
F,chow,36.84
F,chow,26.25
F,chow,22.93
F,chow,28.25
F,chow,23.84
F,chow,20.53
F,chow,24.1
F,chow,24.79
F,chow,23.68
F,chow,21.86
F,chow,27.25
F,chow,21.55
F,chow,24.12
F,chow,23.07
F,hf,20.8
F,hf,24.54
F,hf,27.28
F,hf,22.13
F,hf,27.78
F,hf,28.01
F,hf,19.18
F,hf,21.4
F,hf,27.53
F,hf,28.61
F,hf,20.45
F,hf,23
F,hf,28.26
F,hf,24.76
F,hf,23.82
F,hf,21.9
F,hf,26.07
F,hf,31.15
F,hf,27.92
F,hf,19.81
F,hf,24.94
F,hf,22.6
F,hf,22.39
F,hf,34.93
F,hf,29.66
F,hf,26.46
F,chow,20.43
F,chow,24.82
F,chow,25.43
F,chow,22.12
F,chow,20.99
F,chow,23.28
F,chow,25.78
F,chow,22
F,chow,20.74
F,chow,21.51
F,chow,26.85
F,chow,25.54
F,chow,22.51
F,chow,21.92
F,chow,21.32
F,chow,23.59
F,chow,26.14
F,chow,20.27
F,chow,29.6
F,chow,24.77
F,chow,22.36
F,chow,21.65
F,chow,22.08
F,chow,26.59
F,chow,24.6
F,hf,21.88
F,hf,26.5
F,hf,24.55
F,hf,16.56
F,hf,29.18
F,hf,26.07
F,hf,17.54
F,hf,26.18
F,hf,25.26
F,hf,27.5
F,hf,23.14
F,hf,31.41
F,hf,25.14
F,hf,22.12
F,hf,17.01
F,hf,22.8
F,hf,25.37
F,hf,28.61
F,hf,22.13
F,hf,21.66
F,hf,24.9
F,hf,33.13
F,hf,29.58
F,hf,23.05
F,chow,22.19
F,chow,29.19
F,chow,25.14
F,chow,23.19
F,chow,27.36
F,chow,23.53
F,chow,23.54
F,chow,18.41
F,chow,28.14
F,chow,23.34
F,chow,20.11
F,chow,18.08
F,chow,21.03
F,chow,24.23
F,chow,19.67
F,chow,22.66
F,chow,26.66
F,chow,20.69
F,chow,27.42
F,chow,21.91
F,chow,16.82
F,chow,24.47
F,chow,23.96
F,chow,23.18
F,chow,28.8
F,hf,23.98
F,hf,26.37
F,hf,24.05
F,hf,31.18
F,hf,34.3
F,hf,31.63
F,hf,23.83
F,hf,25.84
F,hf,26.84
F,hf,36.23
F,hf,23.52
F,hf,24.65
F,hf,24.47
F,hf,39.28
F,hf,26.42
F,hf,18.55
F,hf,20.67
F,hf,23.43
F,hf,20.88
F,hf,18.73
F,hf,24.64
F,hf,25.22
F,hf,29.1
F,hf,25.34
F,hf,34.61
F,chow,26.37
F,chow,23.61
F,chow,26.07
F,chow,27.75
F,chow,23.7
F,chow,23.73
F,chow,24.49
F,chow,22.87
F,chow,29.23
F,chow,21.46
F,chow,22.12
F,chow,33.47
F,chow,24.96
F,chow,26.15
F,chow,24.89
F,chow,19.41
F,chow,26.36
F,chow,26.47
F,chow,23.19
F,chow,22.32
F,chow,20.03
F,chow,23.51
F,chow,21.35
F,chow,21.58
F,chow,22.27
F,hf,21.79
F,hf,18.789
F,hf,20.29
F,hf,26.44
F,hf,25.88
F,hf,23.48
F,hf,22.98
F,hf,24.04
F,hf,32.96
F,hf,23.09
F,hf,24.29
F,hf,28.72
F,hf,29.93
F,hf,26.5
F,hf,23.26
F,hf,19.21
F,hf,21.15
F,hf,20.23
F,hf,18.24
F,hf,15.97
F,hf,30.81
F,hf,25.38
F,hf,30.34
F,hf,31.53
F,hf,22.19
F,chow,23.09
F,chow,23.88
F,chow,24.04
F,chow,27.15
F,chow,18.8
F,chow,28.07
F,chow,24.46
F,chow,25.42
F,chow,20.28
F,chow,24.06
F,chow,15.51
F,chow,22.51
F,chow,15.94
F,chow,19.9
F,chow,19.44
F,chow,22.18
F,chow,25.97
F,chow,25.96
F,chow,23.12
F,chow,20.98
F,chow,24.78
F,chow,22.56
F,chow,20.36
F,chow,16.05
F,chow,17.95
F,hf,37.52
F,hf,28.88
F,hf,22.62
F,hf,22.57
F,hf,28.72
