# data provided by Jonas O. Wolff and Stanislav N. Gorb: doi:10.1038/srep01101
leg,type,friction
L1,pull,0.9
L1,pull,0.91
L1,pull,0.86
L1,pull,0.85
L1,pull,0.8
L1,pull,0.87
L1,pull,0.92
L1,pull,0.83
L1,pull,0.88
L1,pull,0.87
L1,pull,0.83
L1,pull,0.76
L1,pull,0.73
L1,pull,0.79
L1,pull,0.73
L1,pull,0.77
L1,pull,0.62
L1,pull,0.72
L1,pull,0.72
L1,pull,0.61
L1,pull,0.64
L1,pull,0.59
L1,pull,1.15
L1,pull,1.08
L1,pull,0.92
L1,pull,1.26
L1,pull,0.88
L1,pull,1.04
L1,pull,1.09
L1,pull,0.78
L1,pull,1.12
L1,pull,1.46
L1,pull,1.69
L1,pull,1.66
L1,push,0.39
L1,push,0.34
L1,push,0.37
L1,push,0.39
L1,push,0.37
L1,push,0.33
L1,push,0.3
L1,push,0.36
L1,push,0.32
L1,push,0.53
L1,push,0.45
L1,push,0.35
L1,push,0.34
L1,push,0.3
L1,push,0.37
L1,push,0.34
L1,push,0.36
L1,push,0.41
L1,push,0.4
L1,push,0.39
L1,push,0.38
L1,push,0.39
L1,push,0.45
L1,push,0.31
L1,push,0.33
L1,push,0.24
L1,push,0.3
L1,push,0.34
L1,push,0.37
L1,push,0.32
L1,push,0.29
L1,push,0.87
L1,push,0.97
L1,push,0.88
L2,pull,0.91
L2,pull,0.9
L2,pull,0.9
L2,pull,0.9
L2,pull,0.98
L2,pull,1.18
L2,pull,1.12
L2,pull,1.24
L2,pull,1.25
L2,pull,1.24
L2,pull,1.32
L2,pull,1.26
L2,pull,1.38
L2,pull,1.34
L2,pull,1.26
L2,push,0.54
L2,push,0.51
L2,push,0.48
L2,push,0.49
L2,push,0.59
L2,push,0.46
L2,push,0.63
L2,push,0.52
L2,push,0.52
L2,push,0.54
L2,push,0.55
L2,push,0.46
L2,push,0.57
L2,push,0.52
L2,push,0.53
L3,pull,1.46
L3,pull,1.52
L3,pull,1.47
L3,pull,1.33
L3,pull,1.13
L3,pull,0.97
L3,pull,1.07
L3,pull,1.08
L3,pull,1.03
L3,pull,0.81
L3,pull,1.44
L3,pull,1.5
L3,pull,1.48
L3,pull,1.11
L3,pull,1.64
L3,pull,1.52
L3,pull,1.34
L3,pull,1.21
L3,pull,1.18
L3,pull,1.32
L3,pull,1.21
L3,pull,1.14
L3,pull,1.07
L3,pull,1.35
L3,pull,0.97
L3,pull,1.08
L3,pull,0.99
L3,pull,0.98
L3,pull,0.98
L3,pull,1.44
L3,pull,1.36
L3,pull,1.31
L3,pull,1.06
L3,pull,1.12
L3,pull,1.25
L3,pull,1.01
L3,pull,1.04
L3,pull,1.26
L3,pull,1.48
L3,pull,1.74
L3,pull,1.69
L3,pull,1.84
L3,pull,1.67
L3,pull,1.15
L3,pull,1.21
L3,pull,1.27
L3,pull,1.34
L3,pull,0.99
L3,pull,0.88
L3,pull,1.77
L3,pull,1.27
L3,pull,1.71
L3,push,0.36
L3,push,0.28
L3,push,0.34
L3,push,0.29
L3,push,0.25
L3,push,0.33
L3,push,0.29
L3,push,0.26
L3,push,0.25
L3,push,0.39
L3,push,0.31
L3,push,0.37
L3,push,0.31
L3,push,0.44
L3,push,0.4
L3,push,0.38
L3,push,0.38
L3,push,0.37
L3,push,0.37
L3,push,0.38
L3,push,0.4
L3,push,0.42
L3,push,0.39
L3,push,0.4
L3,push,0.35
L3,push,0.35
L3,push,0.35
L3,push,0.35
L3,push,0.35
L3,push,0.41
L3,push,0.42
L3,push,0.4
L3,push,0.39
L3,push,0.41
L3,push,0.41
L3,push,0.37
L3,push,0.42
L3,push,0.45
L3,push,0.41
L3,push,0.42
L3,push,0.44
L3,push,0.42
L3,push,0.42
L3,push,0.41
L3,push,0.39
L3,push,0.39
L3,push,0.45
L3,push,0.38
L3,push,0.39
L3,push,0.42
L3,push,0.41
L3,push,0.41
L4,pull,1.78
L4,pull,1.56
L4,pull,1.48
L4,pull,1.41
L4,pull,1.46
L4,pull,1.33
L4,pull,1.46
L4,pull,1.48
L4,pull,1.59
L4,pull,1.41
L4,pull,1.53
L4,pull,1.5
L4,pull,1.56
L4,pull,1.32
L4,pull,1.51
L4,pull,1.44
L4,pull,1.48
L4,pull,1.51
L4,pull,1.52
L4,pull,1.17
L4,pull,1.47
L4,pull,1.38
L4,pull,1.53
L4,pull,1.34
L4,pull,1.29
L4,pull,1.29
L4,pull,1.2
L4,pull,1.16
L4,pull,1.39
L4,pull,1.74
L4,pull,1.31
L4,pull,1.33
L4,pull,1.39
L4,pull,1.26
L4,pull,1.3
L4,pull,1.23
L4,pull,1.2
L4,pull,1.15
L4,pull,1.24
L4,pull,1.33
L4,push,0.65
L4,push,0.65
L4,push,0.67
L4,push,0.66
L4,push,0.64
L4,push,0.61
L4,push,0.57
L4,push,0.71
L4,push,0.67
L4,push,0.53
L4,push,0.81
L4,push,0.76
L4,push,0.77
L4,push,0.82
L4,push,0.64
L4,push,0.7
L4,push,0.72
L4,push,0.84
L4,push,0.86
L4,push,0.44
L4,push,0.42
L4,push,0.43
L4,push,0.53
L4,push,0.45
L4,push,0.37
L4,push,0.32
L4,push,0.35
L4,push,0.35
L4,push,0.26
L4,push,0.23
L4,push,0.24
L4,push,0.21
L4,push,0.25
L4,push,0.21
L4,push,0.2
L4,push,0.2
L4,push,0.24
L4,push,0.21
L4,push,0.17
L4,push,0.27
